Tamano,Modelo,Escenario,FO_Global,FO_Ordenes,FO_Costo,FO_ANS,FO_Fairness,FO_Prioridad,FO_Distancia,Tiempo
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32199811935424805
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.2090010643005371
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.2389993667602539
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.3520026206970215
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.33099937438964844
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.25299787521362305
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.32399415969848633
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.16200017929077148
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.19199419021606445
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.290999174118042
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.16003704071044922
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.15503644943237305
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.2469949722290039
Small,Pyomo,S1_E1O2D1H6S2,0.0,0.0,0.0,0.0,0.0,0.0,0.16299986839294434
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.15999984741210938
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.2609884738922119
Small,Pyomo,S1_E1O2D1H6S2,0.0,0.0,0.0,0.0,0.0,0.0,0.1849994659423828
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.24699950218200684
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.2529134750366211
Small,Pyomo,S1_E1O2D1H6S2,0.0,0.0,0.0,0.0,0.0,0.0,0.25570225715637207
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.2677311897277832
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.2813749313354492
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.24325132369995117
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.23450136184692383
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.35509514808654785
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.41841721534729004
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.307528018951416
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.3420100212097168
Small,Pyomo,S1_E1O2D1H6S2,-1.0,1.0,15.0,8.0,3.0,42.0,0.2090003490447998
Small,Pyomo,S2_E2O2D1H6S1,-2.0,2.0,20.0,5.0,4.0,94.0,0.18097662925720215
Small,Pyomo,S8_E2O2D1H8S1,-2.0,2.0,34.0,9.0,6.0,292.0,0.20499944686889648
Small,Pyomo,S1_E1O2D1H6S2,-2.0,2.0,30.0,14.0,7.0,248.0,0.2149946689605713
Small,Pyomo,S2_E2O2D1H6S1,-2.0,2.0,20.0,5.0,4.0,94.0,0.1860032081604004
Small,Pyomo,S8_E2O2D1H8S1,-2.0,2.0,34.0,9.0,6.0,292.0,0.22600102424621582
Small,Pyomo,S1_E1O2D1H6S2,-2.0,2.0,30.0,14.0,7.0,248.0,0.2539989948272705
Small,Pyomo,S2_E2O2D1H6S1,-2.0,2.0,20.0,5.0,4.0,94.0,0.16099905967712402
Small,Pyomo,S8_E2O2D1H8S1,-2.0,2.0,34.0,9.0,6.0,292.0,0.2240004539489746
Small,Pyomo,S1_E1O2D1H6S2,-2.0,2.0,30.0,14.0,7.0,248.0,0.2018277645111084
Small,Pyomo,S2_E2O2D1H6S1,-2.0,2.0,20.0,5.0,4.0,94.0,0.1347947120666504
Small,Pyomo,S8_E2O2D1H8S1,-2.0,2.0,34.0,9.0,6.0,292.0,0.15817713737487793
Small,Pyomo,S1_E1O2D1H6S2,-2.0,2.0,30.0,14.0,7.0,248.0,0.13091802597045898
Small,Pyomo,S2_E2O2D1H6S1,-2.0,2.0,20.0,5.0,4.0,94.0,0.13909268379211426
Small,Pyomo,S8_E2O2D1H8S1,-2.0,2.0,34.0,9.0,6.0,292.0,0.15399813652038574
Small,Pyomo,S1_E1O2D1H6S2,-0.3299999999999994,1.0,15.0,8.0,3.0,42.0,0.12499499320983887
Small,Pyomo,S2_E2O2D1H6S1,-0.8099999999999989,2.0,14.0,5.0,4.0,94.0,0.19099760055541992
Small,Pyomo,S8_E2O2D1H8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.19299793243408203
